User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA2FLLZSFWLMMRNLET,2020-06-05T21:45:50Z,s3.amazonaws.com,CreateBucket,eu-central-1,176.199.210.146,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.783 Linux/4.9.184-0.1.ac.235.83.329.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.252-b09 java/1.8.0_252 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""udacity-cloudtrail-jprottung""}]",571EAD71E2BE9C34,ec4e7bef-fa67-410e-8d88-04d6f8a7aab1,,AwsApiCall,698695127404,
CloudTrail,ASIA2FLLZSFWLMMRNLET,2020-06-05T21:45:50Z,cloudtrail.amazonaws.com,PutEventSelectors,eu-central-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:eu-central-1:698695127404:trail/Udacity_Trail""}]",01948d73-bed3-4642-9470-0c5759b58e46,fa026907-7a26-4ccd-95b2-518128ddae2d,false,AwsApiCall,698695127404,
CloudTrail,ASIA2FLLZSFWAL3YM773,2020-06-05T21:44:33Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],f5f80d97-1a09-4c52-ad8a-e34c4c2b9386,8e58acbd-368b-417a-8ad9-1b61d1cd45c3,false,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:44Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",b769eb50-ea28-4b99-a77d-958b953c8e3d,63c07b1a-b2a8-4dea-a517-c3314909a6df,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:43Z,iam.amazonaws.com,CreateUser,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::698695127404:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA2FLLZSFWLOVGXMQSX""}]",ed4fe4fd-7fe5-426c-a54d-050fc4df86a1,203e4234-5014-4246-8e5b-d9a680d3529f,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:43Z,iam.amazonaws.com,AddUserToGroup,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",0e925d77-59d9-4614-b313-ea746b1d9648,85f906df-be7e-4466-ab80-be63594a6210,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:43Z,iam.amazonaws.com,AttachUserPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",9c5456c4-01fb-4802-977b-11b872bf67bd,b9b25b69-17e2-419b-8b21-544633dfc270,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:04Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",e0591268-8d94-40ae-b9f3-0d2b3ede540a,30629086-eee1-443f-84ca-efc4bf154e95,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:42:04Z,iam.amazonaws.com,CreateGroup,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::698695127404:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2FLLZSFWDJAU2RX5U""}]",6612192c-5694-4fcd-8cfb-3b250305457a,6c6ed911-6914-4f73-8127-030b215c541e,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:41:52Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",d0527db1-bf52-4bb2-a845-ac5fbc16a559,65dfc97b-8247-48f1-b069-1e8cbfc660ee,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:41:52Z,iam.amazonaws.com,AttachGroupPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",96b9c635-56e3-4f46-aaf8-fa41909d58b8,69585ae1-b46d-40de-8d72-eea5b9571741,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:41:52Z,iam.amazonaws.com,CreateGroup,us-east-1,176.199.210.146,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::698695127404:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA2FLLZSFWOLYCVXBZ7""}]",8fa7cda6-f4ec-41fc-b7f5-e8697321fec6,da014edf-b837-4989-8b71-3406028a8b3c,,AwsApiCall,698695127404,
root,ASIA2FLLZSFWGDKJ7MNV,2020-06-05T21:41:13Z,iam.amazonaws.com,UpdateAccountPasswordPolicy,us-east-1,176.199.210.146,console.amazonaws.com,,[],4598b222-6b85-4749-aa75-9bf938f9acf2,8f12b791-ef70-49c5-b4e0-817835a25723,,AwsApiCall,698695127404,
